agent_id,round,reward,termination,truncation,action_type,offer_to_opponent
agent_0,0,0.0,False,False,offer,
agent_1,1,0.0,False,False,offer,
agent_0,1,0.0,False,False,offer,
agent_1,2,0.0,False,False,offer,
agent_0,2,0.0,False,False,offer,
agent_1,3,0.0,False,False,offer,
agent_0,3,0.0,False,False,offer,
agent_1,4,0.0,False,False,offer,
agent_0,4,0.0,False,False,offer,
agent_1,5,0.0,False,False,offer,
agent_0,5,0.0,False,False,offer,
agent_1,6,0.0,False,False,offer,
agent_0,6,0.0,False,False,offer,
agent_1,7,0.0,False,False,offer,
agent_0,7,0.0,False,False,offer,
agent_1,8,0.0,False,False,offer,
agent_0,8,0.0,False,False,offer,
agent_1,9,0.0,False,False,offer,
agent_0,9,0.0,False,False,offer,
agent_1,10,0.0,False,False,offer,
agent_0,10,0.0,False,False,offer,
agent_1,11,0.0,False,False,offer,
agent_0,11,0.0,False,False,offer,
agent_1,12,0.0,False,False,offer,
agent_0,12,0.0,False,False,offer,
agent_1,13,0.0,False,False,offer,
agent_0,13,0.0,False,False,offer,
agent_1,14,0.0,False,False,offer,
agent_0,14,0.0,False,False,offer,
agent_1,15,0.0,False,False,offer,
agent_0,15,0.0,False,False,offer,
agent_1,16,0.0,False,False,offer,
agent_0,16,0.0,False,False,offer,
agent_1,17,0.0,False,False,offer,
agent_0,17,0.0,False,False,offer,
agent_1,18,0.0,False,False,offer,
agent_0,18,0.0,False,False,offer,
agent_1,19,0.0,False,False,offer,
agent_0,19,0.0,False,False,offer,
agent_1,20,-1.0,False,True,,
agent_0,20,-1.0,False,True,,
