simulation_id,agent1_type,agent2_type,agreement_reached,agent0_final_reward,agent1_final_reward,final_round
0,rl,rulebased,False,0,-1.0,50
1,rl,rulebased,False,0,-1.0,50
2,rl,rulebased,False,0,-1.0,50
3,rl,rulebased,False,0,-1.0,50
4,rl,rulebased,False,0,-1.0,50
5,rl,rulebased,False,0,-1.0,50
6,rl,rulebased,False,0,-1.0,50
7,rl,rulebased,False,0,-1.0,50
8,rl,rulebased,False,0,-1.0,50
9,rl,rulebased,False,0,-1.0,50
10,rl,rulebased,False,0,-1.0,50
11,rl,rulebased,False,0,-1.0,50
12,rl,rulebased,False,0,-1.0,50
13,rl,rulebased,False,0,-1.0,50
14,rl,rulebased,False,0,-1.0,50
15,rl,rulebased,False,0,-1.0,50
16,rl,rulebased,False,0,-1.0,50
17,rl,rulebased,False,0,-1.0,50
18,rl,rulebased,False,0,-1.0,50
19,rl,rulebased,False,0,-1.0,50
