simulation_id,agent1_type,agent2_type,agreement_reached,agent0_final_reward,agent1_final_reward,final_round
0,rulebased,rulebased,False,0,-1.0,50
1,rulebased,rulebased,False,0,-1.0,50
2,rulebased,rulebased,False,0,-1.0,50
3,rulebased,rulebased,False,0,-1.0,50
4,rulebased,rulebased,False,0,-1.0,50
5,rulebased,rulebased,False,0,-1.0,50
6,rulebased,rulebased,False,0,-1.0,50
7,rulebased,rulebased,False,0,-1.0,50
8,rulebased,rulebased,False,0,-1.0,50
9,rulebased,rulebased,False,0,-1.0,50
10,rulebased,rulebased,False,0,-1.0,50
11,rulebased,rulebased,False,0,-1.0,50
12,rulebased,rulebased,False,0,-1.0,50
13,rulebased,rulebased,False,0,-1.0,50
14,rulebased,rulebased,False,0,-1.0,50
15,rulebased,rulebased,False,0,-1.0,50
16,rulebased,rulebased,False,0,-1.0,50
17,rulebased,rulebased,False,0,-1.0,50
18,rulebased,rulebased,False,0,-1.0,50
19,rulebased,rulebased,False,0,-1.0,50
